date,symbol,close
2025-03-07,XLP,79.6527
2025-03-14,XLP,76.4324
2025-03-21,XLP,76.2593
2025-03-28,XLP,77.707
2025-04-04,XLP,75.8225
2025-04-11,XLP,77.649
2025-04-18,XLP,79.1179
2025-04-25,XLP,78.1225
2025-05-02,XLP,78.8183
2025-05-09,XLP,78.1902
2025-05-16,XLP,79.3112
2025-05-23,XLP,78.857
2025-05-30,XLP,80.0456
2025-06-06,XLP,78.944
2025-06-13,XLP,78.2385
2025-06-20,XLP,78.2965
2025-06-27,XLP,78.3763
2025-07-04,XLP,79.9623
2025-07-11,XLP,78.6292
2025-07-18,XLP,78.7071
2025-07-25,XLP,79.3006
2025-08-01,XLP,77.9968
2025-08-08,XLP,80.2542
2025-08-15,XLP,79.8066
2025-08-22,XLP,80.2445
2025-08-29,XLP,78.6001
2025-09-05,XLP,78.6876
2025-09-12,XLP,78.1525
2025-09-19,XLP,77.2378
2025-09-26,XLP,76.3767
2025-10-03,XLP,76.4453
2025-10-10,XLP,76.5138
2025-10-17,XLP,78.1107
2025-10-24,XLP,77.4837
2025-10-31,XLP,74.7308
2025-11-07,XLP,75.1521
2025-11-14,XLP,75.6909
2025-11-21,XLP,76.3179
2025-11-28,XLP,77.7581
2025-12-05,XLP,76.8665
2025-12-12,XLP,77.807
2025-12-19,XLP,77.18
2025-12-26,XLP,77.2561
2026-01-02,XLP,76.7228
2026-01-09,XLP,78.2634
2026-01-16,XLP,81.0878
2026-01-23,XLP,81.8778
2026-01-30,XLP,82.4704
2026-02-06,XLP,86.8452
2026-02-13,XLP,88.3957
2026-02-20,XLP,86.7958
2026-02-27,XLP,88.8894
2026-03-06,XLP,84.7121
2026-03-13,XLP,83.685
2026-03-20,XLP,80.278
2026-03-27,XLP,81.2165
2026-04-03,XLP,81.3257
2026-04-10,XLP,81.8024
2026-04-17,XLP,81.8918
2026-04-24,XLP,82.6565
2026-05-01,XLP,83.59
2026-05-08,XLP,83.5999
2026-05-15,XLP,84.0568
2026-05-22,XLP,84.2157
2026-05-29,XLP,82.3387
2026-06-05,XLP,82.865
2026-06-12,XLP,85.2286
2026-06-19,XLP,82.726
2026-06-26,XLP,84.71
2026-07-03,XLP,84.99
2026-07-10,XLP,84.12
2026-07-17,XLP,85.19
2026-07-24,XLP,84.13
2026-07-31,XLP,85.05
2026-08-07,XLP,85.12
2026-08-14,XLP,86.09
2026-08-21,XLP,85.99
2026-08-28,XLP,85.45
2026-09-04,XLP,84.58
2021-09-10,XLRE,39.6351
2021-09-17,XLRE,39.6351
2021-09-24,XLRE,39.0575
2021-10-01,XLRE,38.2238
2021-10-08,XLRE,37.96
2021-10-15,XLRE,39.3042
2021-10-22,XLRE,40.5718
2021-10-29,XLRE,40.6824
2021-11-05,XLRE,41.0227
2021-11-12,XLRE,40.9972
2021-11-19,XLRE,41.0142
2021-11-26,XLRE,40.6654
2021-12-03,XLRE,40.6739
2021-12-10,XLRE,41.8479
2021-12-17,XLRE,42.5796
2021-12-24,XLRE,42.8327
2021-12-31,XLRE,44.4543
2022-01-07,XLRE,42.2749
2022-01-14,XLRE,41.4341
2022-01-21,XLRE,40.2328
2022-01-28,XLRE,40.1728
2022-02-04,XLRE,40.0612
2022-02-11,XLRE,38.9715
2022-02-18,XLRE,38.3366
2022-02-25,XLRE,39.3491
2022-03-04,XLRE,40.0441
2022-03-11,XLRE,39.3577
2022-03-18,XLRE,40.5246
2022-03-25,XLRE,40.6704
2022-04-01,XLRE,42.5257
2022-04-08,XLRE,42.8623
2022-04-15,XLRE,42.077
2022-04-22,XLRE,42.6034
2022-04-29,XLRE,40.213
2022-05-06,XLRE,38.6856
2022-05-13,XLRE,37.1841
2022-05-20,XLRE,36.5456
2022-05-27,XLRE,38.677
2022-06-03,XLRE,37.8313
2022-06-10,XLRE,35.5273
2022-06-17,XLRE,33.7237
2022-06-24,XLRE,36.3699
2022-07-01,XLRE,36.1786
2022-07-08,XLRE,35.8654
2022-07-15,XLRE,35.6653
2022-07-22,XLRE,36.7614
2022-07-29,XLRE,38.5707
2022-08-05,XLRE,38.0314
2022-08-12,XLRE,39.6146
2022-08-19,XLRE,38.8665
2022-08-26,XLRE,37.3877
2022-09-02,XLRE,35.9089
2022-09-09,XLRE,37.4399
2022-09-16,XLRE,35.0999
2022-09-23,XLRE,32.8826
2022-09-30,XLRE,31.6097
2022-10-07,XLRE,30.3106
2022-10-14,XLRE,29.6435
2022-10-21,XLRE,30.4335
2022-10-28,XLRE,32.3208
2022-11-04,XLRE,31.7677
2022-11-11,XLRE,34.0062
2022-11-18,XLRE,33.4005
2022-11-25,XLRE,34.0588
2022-12-02,XLRE,34.208
2022-12-09,XLRE,33.6199
2022-12-16,XLRE,32.9177
2022-12-23,XLRE,32.9186
2022-12-30,XLRE,32.7854
2023-01-06,XLRE,33.6288
2023-01-13,XLRE,35.1202
2023-01-20,XLRE,34.8184
2023-01-27,XLRE,35.8216
2023-02-03,XLRE,36.3631
2023-02-10,XLRE,35.6174
2023-02-17,XLRE,35.1646
2023-02-24,XLRE,33.8507
2023-03-03,XLRE,34.4011
2023-03-10,XLRE,32.0485
2023-03-17,XLRE,32.164
2023-03-24,XLRE,31.7491
2023-03-31,XLRE,33.421
2023-04-07,XLRE,33.1707
2023-04-14,XLRE,32.7237
2023-04-21,XLRE,33.2422
2023-04-28,XLRE,33.7519
2023-05-05,XLRE,33.4747
2023-05-12,XLRE,33.1618
2023-05-19,XLRE,32.375
2023-05-26,XLRE,31.919
2023-06-02,XLRE,32.9114
2023-06-09,XLRE,33.1886
2023-06-16,XLRE,33.6982
2023-06-23,XLRE,32.3704
2023-06-30,XLRE,34.0223
2023-07-07,XLRE,34.1125
2023-07-14,XLRE,35.0152
2023-07-21,XLRE,34.8437
2023-07-28,XLRE,34.2028
2023-08-04,XLRE,33.4626
2023-08-11,XLRE,33.7515
2023-08-18,XLRE,32.6682
2023-08-25,XLRE,32.9029
2023-09-01,XLRE,33.3994
2023-09-08,XLRE,33.0564
2023-09-15,XLRE,33.2099
2023-09-22,XLRE,31.4547
2023-09-29,XLRE,30.9997
2023-10-06,XLRE,30.5357
2023-10-13,XLRE,31.2454
2023-10-20,XLRE,29.7987
2023-10-27,XLRE,29.4347
2023-11-03,XLRE,31.946
2023-11-10,XLRE,31.2909
2023-11-17,XLRE,32.7285
2023-11-24,XLRE,33.047
2023-12-01,XLRE,34.5847
2023-12-08,XLRE,34.4846
2023-12-15,XLRE,36.3954
2023-12-22,XLRE,36.5342
2023-12-29,XLRE,36.8377
2024-01-05,XLRE,36.1296
2024-01-12,XLRE,36.3595
2024-01-19,XLRE,35.5871
2024-01-26,XLRE,35.394
2024-02-02,XLRE,35.2284
2024-02-09,XLRE,35.3204
2024-02-16,XLRE,35.2652
2024-02-23,XLRE,35.6055
2024-03-01,XLRE,36.3595
2024-03-08,XLRE,36.9388
2024-03-15,XLRE,35.8997
2024-03-22,XLRE,35.7553
2024-03-29,XLRE,36.5978
2024-04-05,XLRE,35.5331
2024-04-12,XLRE,34.4776
2024-04-19,XLRE,33.2185
2024-04-26,XLRE,33.7555
2024-05-03,XLRE,34.274
2024-05-10,XLRE,35.0054
2024-05-17,XLRE,35.8849
2024-05-24,XLRE,34.5795
2024-05-31,XLRE,35.2276
2024-06-07,XLRE,35.1535
2024-06-14,XLRE,35.672
2024-06-21,XLRE,35.6257
2024-06-28,XLRE,35.9221
2024-07-05,XLRE,35.8193
2024-07-12,XLRE,37.3998
2024-07-19,XLRE,37.8861
2024-07-26,XLRE,38.0919
2024-08-02,XLRE,39.1487
2024-08-09,XLRE,39.1019
2024-08-16,XLRE,39.1487
2024-08-23,XLRE,40.5609
2024-08-30,XLRE,40.7292
2024-09-06,XLRE,40.804
2024-09-13,XLRE,42.2817
2024-09-20,XLRE,41.786
2024-09-27,XLRE,41.7116
2024-10-04,XLRE,40.9865
2024-10-11,XLRE,40.9017
2024-10-18,XLRE,42.1354
2024-10-25,XLRE,41.5044
2024-11-01,XLRE,40.2519
2024-11-08,XLRE,41.3537
2024-11-15,XLRE,40.4779
2024-11-22,XLRE,41.5233
2024-11-29,XLRE,42.3803
2024-12-06,XLRE,41.2219
2024-12-13,XLRE,40.3366
2024-12-20,XLRE,38.4154
2024-12-27,XLRE,38.5905
2025-01-03,XLRE,38.8761
2025-01-10,XLRE,37.2959
2025-01-17,XLRE,39.1046
2025-01-24,XLRE,39.552
2025-01-31,XLRE,39.4282
2025-02-07,XLRE,39.9518
2025-02-14,XLRE,40.0374
2025-02-21,XLRE,40.1993
2025-02-28,XLRE,41.075
2025-03-07,XLRE,40.4277
2025-03-14,XLRE,39.4568
2025-03-21,XLRE,39.5139
2025-03-28,XLRE,39.671
2025-04-04,XLRE,37.3239
2025-04-11,XLRE,37.2856
2025-04-18,XLRE,38.7513
2025-04-25,XLRE,38.828
2025-05-02,XLRE,40.1692
2025-05-09,XLRE,39.8626
2025-05-16,XLRE,40.2458
2025-05-23,XLRE,38.9333
2025-05-30,XLRE,39.9776
2025-06-06,XLRE,40.1213
2025-06-13,XLRE,40.1308
2025-06-20,XLRE,40.0734
2025-06-27,XLRE,39.7495
2025-07-04,XLRE,40.4069
2025-07-11,XLRE,40.1845
2025-07-18,XLRE,40.4455
2025-07-25,XLRE,41.3639
2025-08-01,XLRE,39.9139
2025-08-08,XLRE,39.8752
2025-08-15,XLRE,39.9525
2025-08-22,XLRE,40.9289
2025-08-29,XLRE,40.8999
2025-09-05,XLRE,40.7742
2025-09-12,XLRE,40.9385
2025-09-19,XLRE,40.4552
2025-09-26,XLRE,40.7932
2025-10-03,XLRE,40.988
2025-10-10,XLRE,39.6243
2025-10-17,XLRE,40.949
2025-10-24,XLRE,41.5432
2025-10-31,XLRE,39.8386
2025-11-07,XLRE,40.199
2025-11-14,XLRE,39.8873
2025-11-21,XLRE,39.8386
2025-11-28,XLRE,40.5886
2025-12-05,XLRE,39.9263
2025-12-12,XLRE,39.6925
2025-12-19,XLRE,39.2834
2025-12-26,XLRE,39.8998
2026-01-02,XLRE,39.762
2026-01-09,XLRE,39.8801
2026-01-16,XLRE,41.564
2026-01-23,XLRE,40.6187
2026-01-30,XLRE,40.7959
2026-02-06,XLRE,41.3473
2026-02-13,XLRE,42.8342
2026-02-20,XLRE,42.8933
2026-02-27,XLRE,43.169
2026-03-06,XLRE,42.2336
2026-03-13,XLRE,41.6034
2026-03-20,XLRE,39.9688
2026-03-27,XLRE,39.6624
2026-04-03,XLRE,41.2485
2026-04-10,XLRE,42.448
2026-04-17,XLRE,44.0936
2026-04-24,XLRE,43.4493
2026-05-01,XLRE,43.935
2026-05-08,XLRE,44.0242
2026-05-15,XLRE,42.8545
2026-05-22,XLRE,44.1729
2026-05-29,XLRE,43.6079
2026-06-05,XLRE,44.3117
2026-06-12,XLRE,44.966
2026-06-19,XLRE,43.479
2026-06-26,XLRE,45.24
2026-07-03,XLRE,44.68
2026-07-10,XLRE,44.45
